artwork_desc,artwork_name
 ,Manet.Manet
 ,Wonderland
 ,The Curtain
 ,The Actress
 ,Erase Everything but Love
 ,Fairy Leg
 ,There Might be Two Suns
 ,Decent Woman
 ,A Portrait of a Drenched Dog
 ,The Bat
Zao Wou Ki Foundation certificate n 2014 59 of 15 July 2014,Abstract composition
Zao Wou Ki Foundation certificate n 2019 42 of 26 November 2019,Un petit matin
 ,Broken Volleyball
 ,Artwork title
The practice of Cameron Jamie b 1969 USA has a distinct place of its own in the contemporary art scene Through a wide range of media performance video sculpture installation photography and drawing his work embodies an ongoing investigation into the unselfconscious folklore of suburban culture exploring marginal realities amateur and vernacular traditions and revealing a hidden face of our society Jamie s ceramic sculptures are formed from organic hand molded shapes and pieces through repeated firing and glazing the structures are glossed in an animated surface pattern of swirling lava varnishes with spectacular richness The material exploration on display demonstrates the artist s ability to traverse the conventional and experimental at once re imagining recognizable forms and expanding the discourse of ceramic and monotype ,Azteka
Juan Usl paintings are complex interactions and incorporate a great diversity of art historical references sensory and mental impressions various pictorial languages the gesture of painting and how the matter paints itself functions The first step is the canvas s preparation with multiple layers of gesso which is a key element that will remain visible This continuous manifestation of the gesso also conveys a philosophical resonance for Usl namely that the beginning is present at the end that the painting is a self contained entity a complete object not merely within its four sides but in the vertical layering of its surface as well The process of painting consists of a natural harmony between the manual act and the intellectual decisions Movement or even better displacement is a thematic key in his work In Usl s work we can read a constant dichotomy between opposing and complementary elements at the same time order and chaos presence and absence flatness and depth Most of his paintings are a juxtaposition of color areas and lines structures that seem to come and go like the fragments of a story The Artist presents his work as a temporary delimitation of infinite surfaces or as fragments from an infinite structure of lines Particularly well known is the series of paintings called So que Revelabas Dream that revelead In these works the artist through a deeply introspective practice seems to give shape to his more intimate self While painting Usl tries to connect rhythmically with his palpitation making each stroke a symbolic representation of the beating of his heart return the theme of disorientation no longer understood only in a physical sense but also and above all in a more temporal and perceptive way His paintings take the viewer into a labyrinthine space in which the articulation seems to indicate a specific direction while paradoxically it leaves open the way to interpretation ,Soñé que revelabas (Karnali)
Dimensions variable photo diameter 120 140 cm,Blanchette
